Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
21,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.05459502757889854,0.0780371553539657,0.11842239967239969,3.9117631054905963e+34
22,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.18539277914277916,0.10606402604484445,0.10442534817534817,0.18539277914277916,inf
23,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.03466520039100684,0.02386683243364278,0.10832138957138958,inf
24,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.11842239967239969,0.05603748039092867,0.07894133682177161,0.11842239967239969,inf
25,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.14576508326508328,0.07388025760870588,0.06850133350133349,0.14576508326508328,inf
26,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.1381637319137319,0.08363289454786632,0.10818218722630486,0.1381637319137319,inf
27,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.04531984137247295,0.045639755014755014,0.10832138957138958,inf
28,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.10832138957138958,0.045358654388138415,0.04566444517227249,0.10832138957138958,inf
29,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.19644075894075894,0.10111478392728392,0.08477813477813478,0.19644075894075894,inf
30,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,0.0,0.13675607425607425,0.07244897935943542,0.08006338857033302,0.13675607425607425,inf
