Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
5,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.4711947174447174,0.41531274622662184,0.48854113650988645,0.4711947174447174,5.893648529052735
6,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.6297901310401312,0.5919072738718459,0.6644435913185913,0.6297901310401312,5.326242049535116
7,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.63868447993448,0.5788455822794057,0.5970390561015562,0.63868447993448,4.841105270385742
8,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.6808323095823097,0.6291022046391365,0.6437903812903812,0.6808323095823097,4.484348297119141
9,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.7951126126126127,0.7861307397614216,0.8357122036809537,0.7951126126126127,4.1400429010391235
10,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.7543171580671582,0.7322279012279012,0.7972962735462735,0.7543171580671582,4.031120975812277
11,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8537643325143325,0.846634891265573,0.8746553676241176,0.8537643325143325,3.6945396105448403
12,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8613554463554463,0.8596191007497825,0.8989423615986116,0.8613554463554463,3.497070089975993
13,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8616850941850942,0.8657471729403549,0.9176138313638313,0.8616850941850942,3.208609731992085
14,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,0.0,0.8798669123669123,0.8737400631150631,0.9099776237276238,0.8798669123669123,3.110437822341919
